document	label
surging	0
taking advantage	0
hoping	1
this is bullshit	0
hatred	0
bush has made a 'big mistake	0
several occasions	0
assumes the right to interfere	0
assassin	0
murderous thugs	0
as small ( yet acceptable ) as possible	1
unnecessary	0
triggers domestic turmoil	0
humanely	1
would have lent a noteworthy twist	1
in a state of war	0
mere reproduction of unverified and unsubstantiated reports	0
seems to be	1
but	0
refuses	0
is succeeding	0
such support	1
true , legitimate , and elected	1
this is no blind violence but rather targeted violence	0
his ship has been sailing towards a wrong direction for far too long	0
support for	1
short - term pains will eventually pass	1
do n't want	0
has been very critical	0
hegemonic	0
protesting	0
package of recommendations	1
one that would be adversely affected	0
stop intervening	0
false image	0
support of	1
volatile	0
meddling	0
state terrorism against its own citizens	0
is interested	1
niche of affection and solidarity	1
terrible	0
unfounded	0
opposition to	0
longed for	1
assassination	0
fairly good prospects	1
engulfed by violence and crime	0
near impossible	0
accuses	0
aghast	0
agrees	1
suspend	0
legitimate	1
able	1
hardly ring true	0
the american vulgarity	0
dangerous	0
both ridiculous and odd because they all seemed to be playing games	0
free and fair	1
has displayed unrelenting resolve and confidence	1
was particularly disheartening	0
treading a path of coercion , intimidation and blackmailing	0
far preferable	1
achievements	1
can feel sorry for	0
disenfranchised	0
not satellites	0
serious mistakes	0
hardest	0
humanely	1
must not use double standards	0
until the imf brought them to the point of death	0
not	0
very odd	0
has also strongly denied	0
strong support	1
does not take any responsibility	0
not even	0
most atrocious human rights violations	0
a real problem	0
intends	1
nevertheless	0
just empty rhetoric	0
abandoned	0
signifies	1
formation of good economic neighborhood	1
oic - eu front against the united states	0
advice	1
suggested	1
strong opposition	0
recommends	1
axis of evil remark	0
learn to accept	1
only too aware	0
hold	1
concern that exists	0
in such a complex state	0
zimbabwe is for zimbabweans	1
threatening	0
war against terrorism'	0
want	1
bloodbaths	0
intends	1
humiliation	0
hopes	1
an obsession - - fidel castro's downfall	0
split the motherland	0
are vying for	1
defend	1
clearly	1
calling for	1
seeking	1
being discriminated against	0
ostracising	0
opposition	0
approval	1
systematic campaign of violence and intimidation	0
needed to be wiped out	0
proposal to reunify	1
on realistic and just bases	1
would consider	1
is promising	1
demonstrations against	0
axis of evil	0
double standard	0
good relations	1
even worse	0
does not want	0
to be okayed	1
could destabilise	0
are scheming	0
is even more troubled	0
moments of sheer upliftment and exhilaration	1
another dangerous signal	0
they will find themselves on inhospitable ground	0
squandered	0
bound to be serious	0
criticized	0
supporting	1
took another swipe	0
urge	1
the united states' biggest enemy	0
looked in tears	0
feeling of uncertainty	0
is particularly opposed	0
violent enemies	0
better way forward	1
are torn	0
honored his commitment	1
supposedly model democracy like the usa can trample on the law to such an extent	0
blame	0
particular concern is raised	0
unfortunately	0
backing	1
would also ensure a durable peace	1
should always	1
pathetic in that	0
would be difficult because	0
peacefully	1
unfair	0
sought to ease	1
the sense of frustration	0
sharp international rebuke	0
expand peace and security	1
would remake venezuela to benefit the poor	1
has rejected	0
was more than confident	1
a great gift	1
support	1
everyone pays dearly for his mistakes , and somehow manages as best he can	0
national aspirations	1
suddenly going to become reasonable	0
concerns	0
see	0
are even less happy	0
offering even order - of - magnitude guesses	0
was not even	0
odious	0
no quick fix	0
our goal	1
him has not been pretty	0
was seen	1
am happy	1
pledged to fight	0
no tears will be shed in this corner	0
number one democracy	1
and then assert the laws of war do not apply	0
tragic	0
attack	0
far - reaching repercussions	0
great leader	1
surge	0
should earnestly abide	1
is accused	0
venezuela's friends	1
how could anybody	0
as if it were an adjudicator	0
are quite respectful	1
depends on	0
exacerbating	0
support	1
jetted	0
axis of evil	0
do n't want	0
is reasonable , humane , legal , proper , and compatible	1
not prepared	0
similar protests	0
as bad as the prospects of change seem to be	0
a lot better than they are	0
highly unclear	0
are outraged	0
not satisfied	0
extra - judicial liquidations	0
blamed	0
brutalised	0
reiterated	1
were insulting to the palestinians	0
only one single	0
full support	1
creates the impression	0
want to	1
indirectly criticised	0
according to americans , this sort of humanity does not qualify for any of the laws	0
alienated	0
relished	0
terrorists	0
safeguarding	1
very serious	0
take what you can while you can	0
opened a new path	1
he could be very useful	1
maintains its support	1
loudly trumpeted	0
rebelled	0
incessant irritant	0
is advocating	0
certainly help	1
strongly welcomes	1
affirmed	1
threats	0
oppression	0
brazen distortion	0
our party has been genuine	1
greater elaboration	1
excessive	0
harmful	0
closed ranks behind	1
not free and fair	0
is pessimistic	0
a forerunner in the sphere of human rights in the world	1
promoting peace and stability	1
thinks	0
support	1
great	1
big challenge	0
waging a ruthless war	0
is already under fire	0
dominating the world	0
warned	0
scuzz	0
made a harsh appraisal	0
will not lead to a solution	0
the sole purpose	0
plans to kill	0
further criticism	0
it would have avoided this problem	0
right and proper	1
therefore	1
confidence crisis	0
commitments	1
on behalf of my country	1
have severed ties	0
moments of sheer exhilaration	1
every possible effort	1
resignation	0
with a large degree of confidence	1
would not like	0
culprits	0
the abuse of human rights is rampant	0
charging	0
like any form of state terrorism	0
thanks to	1
tragic circus	0
conspiring	0
to voice his concern	0
israel is a spoiled brat of the united states	0
doubly embarrassed	0
aspirations	1
talk anxiously	1
deigned	0
x - ray prison camp	0
spurred on	1
burden really lies	0
think	1
of lying	0
have filed a complaint	0
we are living in a politically highly sophisticated society	0
under the strong influence	0
thought	0
reaffirmed	1
will rise against	0
reminiscent of the torture centres	0
seeking revenge	0
supporting	1
charges of	0
want	1
would help stop the country plunging into civil war	1
excited	1
a nonsense term	0
outlined	0
challenges	0
arbiter of democratic legitimacy	1
welcomed	1
violations or shortcomings	0
was lobbying	1
abundantly clear	0
not an acceptable method	0
would have had to resign had he not given in	0
glossing over	0
unsubstantiated	0
abuses including torture	0
awfully grave and pressing	0
axis of evil	0
so - called	0
to fight	0
concluding	0
far from being conceived	0
can not refuse offering cooperation	1
appropriateness of antagonizing	0
will be tarnished	0
violence	0
voiced its protest	0
dramatic upsurge	0
rope in	0
have been endeavoring to prevent	1
plight of	0
accused	0
disastrous consequences	0
rallies for solidarity	1
increasing attacks	0
sitting on the sidelines	0
signed off on	1
be considered	1
concern	0
warning	0
great fanfare	0
thwarting	0
a casualty of his own government's attempt to maintain favor in washington	0
are feeling	0
better served	1
insufficient mortgage loans	0
extremist	0
jumped to the conclusion	0
wants	1
higher than any time in the past several hundred thousand years	0
actively contributed	1
mere	0
sound the alarm	0
so - called war against terrorism	0
chief opponent of	0
have grave doubts	0
waging a ruthless war against	0
has been committed	1
has become tense again	0
has been unscathed by scandals	1
opposes and rejects	0
breakthrough	1
likewise thwarted	0
fully grasp	1
is beginning to work	1
harmed	0
to assure	1
can only speak of	0
could support	0
wish	1
victory	1
should be tried by an international tribunal	0
the fabric of compassion tore	0
this is really an unwise idea	0
hypocrisy	0
peaceful	1
criticism	0
distress	0
refusal to accept	0
are not guessing correctly about the dilemma of the chicken or the egg into which the argentine crisis has become converted	0
modern , civilized instruments of coercion	0
had taken serious steps to ensure the personal safety	1
desperate tableau	0
biased propaganda	0
neither very complicated nor very expensive	1
do support	1
preserve	1
hours away	0
goodies	0
because	0
can support	1
complaints and inquires	0
sensible	1
if it becomes more of a nuisance	0
perception	0
enemy	0
wants	1
do n't care	0
criticized	0
extreme weakness	0
support	1
sent packing	0
utter boredom	0
most ludicrous	0
does not hope	0
may not receive a fair trial	0
would be nothing without the chic and prestige conferred by elite u . s . universities	0
widespread concerns	0
encourage	1
prime targets	0
have condemned	0
my stomach was in a real knot	0
taking care to avoid directly criticizing	0
was an affront to the muslim people	0
severely reduces	0
remarks calling	0
manner that is reasonably consistent	1
not to deal with	0
obviously overshadow	0
has been protested	0
was a deluge of doubts	0
denunciation	0
were immediately contested	0
due to those who stand in the way of the settlement	0
chorus of protest	0
firebrand	0
axis of evil	0
absolutely do not go	0
niceties	1
hold on power	0
resorting to	0
long neglected	0
opportunity	1
interests	1
expansionist policies	0
bad treatment	0
stand firm	1
chanted	0
meaningless	0
support	1
do swear	1
agreed	1
want	1
arrogantly , humiliatingly , aggressively and in an interfering way	0
has also backed	1
scheme	0
gain the upper hand	0
who did not drop out of law school as i did	0
peaceful settlement	1
had accepted	1
would promote	1
rogue	0
however fraudulent	0
wary of	0
been picking on	0
policy of provocation	0
may be seeking to cause damage	0
disguises	0
were openly supporting	1
acts of insubordination	0
is worrying	0
sets a dangerous precedent	0
axis of evil remark	0
test of patience	0
put an end	1
fine words	1
perhaps it is perverse	0
critics	0
lambasted	0
lie	0
the rare opportunity	1
typical texan mentality	0
wants to speak the language of violence	0
rig	0
real	0
assured	1
once looked impossible to win	0
accused	0
scores of	0
doubly difficult	0
too high	0
being torn to bits	0
miscalculate	0
but there is little i can do	0
as a guarantee of stability	1
strong protest and denunciation	0
suppress fury	1
joining the fray	0
to imagine	1
charging	0
have hotly denied	0
expressed a mutual desire	1
fair	1
cherished	1
remain a risky enterprise	0
the importance	1
more attentive	1
have not given up their wish	1
will overcome the current difficulties , revive their economy and maintain their social stability	1
evaluated	0
pretty well - planned out	1
legitimate	1
to protest	0
legal protection and backing	0
was offended	0
was confident	1
his favourite newfie	0
injustice	0
accuses	0
more tolerable than before	1
declining	0
failed	0
is an act of objectionable brutality	0
promoting	1
boasts	1
nothing seemed more normal than to settle in someone else's territory	0
quit its moves to obstruct a fair middle east settlement	0
no benefit at all	0
was rejected	0
manifestation of its hegemonistic designs	0
bear this patiently	1
would undermine	0
well - meaning	1
 head off an explosive growth	1
it will not be a coup so long as the united states thinks it is not	0
would like to extend	1
fearing	0
strongly criticized	0
with a sigh	0
strongly denounced	0
preferable	1
hold	1
concerns	0
standing in the way	0
went the length of staging the farce	0
agenda against	0
hailed	1
broad political consensus	1
we're going to find a way around it	1
is becoming increasingly reckless	0
witch - hunting	0
clearly not free and fair	0
a pariah	0
undermining	0
urge	1
irked	0
in fact poverty	0
give us nothing	0
went along	0
road that leads swiftly to the abyss	0
had become one of the sides of the axis of evil	0
marred by state - sponsored violence	0
embark on trampling upon human rights of civilians	0
to denounce	0
is also the most risky	0
confronting itself	0
interference	0
quick to suppress	0
whose eyes are not bluest of the blue	0
emphatically condemned in the strongest terms	0
a rebuttal	0
wrongful and illegitimate	0
violated human rights	0
significantly	1
threatened	0
how far the arab world has come	1
is running so scared	0
denied	0
has painted	0
palestinians' right to their own country	1
such animosity	0
continuously cooperating	1
requesting	1
club med	0
get inspiration	1
such remarks	0
apprehensions and resentment	0
was mistreating its hostages	0
avoid the need for it	0
is ignoring its commitments	0
regained	0
to rid	1
is stiffening in its attitude toward	0
interference	0
nibbling	0
sought to project itself	1
self - destructive	0
mandatory	0
club gitmo	0
humiliates	0
a twisted logic	0
realizes	1
hailed	1
declared	1
the magnitude of the threat they pose	0
compromising	1
wanting	1
scorned	0
very frightening	1
took such a concerted stance critical	0
fattening	0
very forthcoming	1
not a legitimate government	0
unwarranted	0
the concerns voiced	0
misled by the smear campaign and information sabotage	0
scandals	0
has resisted	0
if it is successful	0
might have gone off his rocker once	0
want	1
fundamental freedoms	1
promote	1
go into the streets en masse and defend and support	1
should not be used to justify	0
despite widespread fatigue caused by successive austerity drives	0
a traitor	0
not sure	0
feeling	1
proudly announced	1
hostility towards	0
would like	1
opposition	0
is worst	0
given evidence to prove	0
several different disputes	0
catering to the interests of the us oil and coal barons	0
imperialists and reactionaries	0
overtures to express official objections	0
would also support	1
boycott	0
hardly convincing	0
gently balked	0
excuses	0
makes sense	1
will be faced with difficulties	0
can not be solved by washington's arbitrary decision	0
positive	1
mutual desire	1
to fulfill this promise	1
friendship	1
detrimental	0
although	0
seriously flawed	0
can feel free	1
seem logical .	0
to deliver official criticism	0
do n't look natural	0
weak or even nonexistant	0
no small number of critical shots	0
feel sorry for	0
wave of protests	0
concrete support from	1
sacrifice	0
sharp divisions	0
seeking	1
are extremely concerned	0
destroy the very foundations of the west	0
criticism	0
only wants	1
just the way the prisoners like it back home	0
core	0
an uneasy atmosphere reigns	0
clucked and shook his head	0
alternative'	0
support	1
more civilized	1
promotion	1
nor	0
great advantage	1
condemning	0
criticized	0
has no chance of living and developing peacefully	0
big brother	0
brushed aside	0
threaten	0
charged	0
reserves	0
personal arrogance	0
axis of evil	0
refuses	0
desperation	0
the most bizarre twist	0
as usual	0
was finally accepted	1
interfering	0
fervently escalates a campaign of bludgeoning its citizens	0
babysitters	0
tremendous amount of progress	1
want	1
do not enjoy the minimum guarantees	0
threats against	0
illegitimate	0
not happy	0
in retaliation	0
defects	0
was criticized	0
should welcome the fact	1
came forth supporting	1
nonsense	0
feared by	0
provocative	0
insufficient guarantees in themselves	1
is always a tough call	0
endorsed	1
pretended	0
optimistic and hopeful	1
resounding pots - and - pans demonstrations	0
could enter a state of social rebellion	0
were suspected of	0
was approved	1
want	1
optimists	1
closed ranks	0
must be banned	0
criticism	0
mistake	0
tremendously ambitious	1
reminiscent more of nazi concentration camps than a civilised detention facility	0
nor is the outcome illegitimate merely	0
has refused	0
last - ditch	0
unwarranted	0
power at all costs	0
hidden agents	0
doggedly	0
opposed	0
should not	0
criticism	0
in the hope	1
resentment	0
break promises	0
right	1
war on	0
axis of evil	0
like the suffering	0
too small	0
in case they lost their teeth while , say , biting a guard	0
declined	0
stymied	0
axis of evil	0
not only	0
placed hopes	1
indefinitely	0
choked off	0
wielding its authority	0
no enemy of consequence in sight	0
the plotters	0
vacationing	0
one would inevitably be reminded	0
is suspected	0
intense legal wrangling	0
is floundering	0
imperialists	0
charges brought	0
a view	1
shortcomings	0
are regarding	0
bluntly criticize and oppose	0
was unconstitutional	0
respect	1
it delivered that blow , and hit argentina	0
the us has behaved as if it had a sort of natural right to create law	0
wants	1
not the best of solutions	0
aggressively harping	0
was a good thing for the hemisphere	1
cold	0
grateful	1
can not condone more than anything	0
more intense	0
alone	0
damaging to the state's interests	0
will try its best	0
without effective	0
turned out to be impossible	0
are being treated humanely	1
oddly enough	0
deep international outrage	0
optimistic and hopeful	1
goat f - -	0
a nation that ``continues to flaunt its hostility toward america and to support terror	0
backing	1
not a normal country	0
was determined	1
have angered	0
inaccurate and fabricated	0
have the final say	0
humane and reasonable	1
expansionist policies	0
the principles of kyoto were fine	1
unselfconsciously	0
killed and injured thousands of innocent afghans	0
ugliest crimes	0
strong support for	1
angry	0
by any means	0
would press ahead	1
not enough	0
subsequently denied	0
true reflection of the people's will	1
neo - colonial	0
pronounced	1
thanks to the taliban regime	0
compliant	0
mounting concerns	0
nations that are so dictatorial	0
preach democracy to the entire planet	0
accusations	0
punishment	0
disparaging	0
strategic importance	1
does not conform	0
were not prepared	0
charges being leveled	0
particularly disturbed	0
very substantial	0
likening	0
illegal	0
protest	0
in the hope	1
difficulties as being insurmountable	0
drove the imf even further away	0
could cause serious damage	0
islands will go under	0
time and time again	0
declare their opposition	0
rigged	0
suffered persecution	0
support	1
ambition	1
hoping	1
hot showers	1
has but disappeared	0
grief and anguish	0
what could be worse	0
cracks are appearing	0
there will always be an argentine risk	0
urged	1
confidence and high esteem	1
putting entire sectors of the economy out of commission	0
honoured	1
warning	0
labeled	0
considered	1
knows enough	1
in addition to being effective	1
quite the contrary	0
positively assessed	1
had no sooner warmed the coveted seat	0
return to the protectionism	0
to raise the problem	0
spirit of	1
a primitive thirst for revenge	0
membership in the axis of evil ,	0
such a concept gets us nowhere	0
discredits and kills	0
hopes that were raised	1
accused	0
expand constructive and cooperative relations	1
unclear	0
upholder of justice	1
a convenient electoral tool	0
stubborn enough	0
axis of evil argument	0
something special , as god's own country .	1
arbitrarily	0
has long had tense relations	0
odious	0
filled with repression	0
troublemaker	0
a petty - minded populist who had done great damage to his country's economy	0
successful	1
friends	1
threats by	0
has perfectly accomplished	1
tortured consciences	0
would be completely blocked	0
definitely not blessings	0
menace	0
unpopular	0
the dictates	0
spurious	0
unity	1
remember	1
suspect	0
desire to work	1
may better	1
mixed	0
spirit of cooperation and understanding	1
adopt an open posture	1
terrorist allies	0
happy	1
is calling for	1
realized	0
resistance	0
the warnings	0
hopes	1
warned	0
commitment	1
maltreated	0
unnecessary	0
a sense of unity and purpose	1
be seen	0
end up like french algeria	0
extremely threatening	0
are concerned	0
not convincing	0
strong base for bringing about calm and stability	1
thugs and fraud	0
condemned	0
impartial	1
should not forget the horror	0
resistance	1
so - called	0
tougher policy against	0
imposed by military force	0
should not tolerate	0
no one , however , is giving a hearty thumbs up to mr . tobin	0
grand strategy to target	0
was explicitly embraced	0
insisted	1
kill	0
calm	1
appeasement	0
damage	0
independent	1
claiming	0
can be difficult	0
praised	1
criticizing	0
subjected to sensory deprivation	0
are eyesores	0
moving rapidly toward a legal coup	0
praised	1
insisted	1
does not want to learn	0
flagrant attack	0
richest	1
said optimistically	1
calls for	1
eliminating its enemies	0
expressed the hope	1
accused	0
threat	0
extremist	0
the same unilateral policy	0
continue to adopt	0
where the hell it is	0
abandon its one - sidedness	0
instigating	0
the government continues to uphold the freedom of expression	1
significant	0
total confusion of historical data	0
filed a complaint	0
the ideal of a world kingdom	0
declined	0
wants	1
discrimination	0
allegations	0
instigating	0
for otherwise	0
blindly accepting	0
merely superficial	0
to achieve a just solution	1
supporters	1
enshrined	1
simplistic	0
foregone conclusion	0
living in peace	1
will be meaningless	0
refusing	0
sent a letter of protest	0
believes	0
loss of innocent lives	0
tough blow	0
bridle the israeli oppressive activity	1
congratulatory message	1
week that changed the world	1
perception	0
fully within the legitimate order	1
reduced to a series of bantustans	0
unfortunately	0
who said that space investments were not interesting	1
it may cloud my assessment	0
masterminding	0
resulted in many people being killed or tortured that did n't need to be	0
strong perception	0
have warned	0
the biggest	0
only responsible course of action	1
hailed	1
you face a catastrophe	0
mistreatment	0
committed	1
is obsolete	0
again triggers the red light	0
defeated	0
keepers	0
cried	0
violated	0
spurned	0
fails to meet the standard of being free and fair	0
a shocking story	0
provoked by the fact	0
perception	0
appetite	1
his dynamism is an asset	1
with some effort , he pins the flailing child down on the changing table only to discover there are no diapers in the house	0
to be seen or to be perceived	0
blasts	0
not a successful choice	0
is a legitimate struggle	1
the absolute right in all cases	1
to deny	0
approve of	1
good government	1
unite against the enemy	1
condemned	0
better approach	1
have wished to	1
more than that	1
not free and fair	0
injustice	0
refuses	0
anti - democractic	0
invited	1
ignore the consequences	0
will acknowledge	1
a border of peace and good neighbourliness	1
support	1
entirely run counter to the aspirations	0
am confident	1
perpetrates spiteful conduct of all kinds worldwide	0
accused	0
unfounded allegations	0
not implemented in practice	0
complained	0
seek liberation	1
always above everything else	0
we should remain calm	1
settle the accounts	0
very simplistic	0
undisguised pleasure displayed	0
legitimate	1
war freak	0
refused	0
from upholding religious and cultural values	1
to blame	0
value sharing	1
have great confidence	1
did not stop	1
legally established	0
the possible risks facing indonesia	0
a much better position	1
categorized	0
kick chavez out of power	0
to ask	1
chooses to disregard	0
its support for	1
eradicate	1
gratuitously destructive	0
downfall of their puppet pahlavi regime	0
preventing	0
better - than - expected response	1
chavez' incapacity	0
got out of hand	0
dogged	0
lost ground	0
is proud	1
profit from	0
spiteful attitude	0
really	1
recognition	1
have no grasp	0
favours	1
as is feared by the whole world	0
only one battle	0
so exciting	1
been subjected to abusive language	0
humiliation	0
state terrorism	0
unfortunately	0
vast	1
persistent alignment	1
very likely	0
interests	1
are refusing	0
mdc sympathies	1
support	1
fraud - tainted	0
entirely improper	0
paints doomsday scenarios	0
stood with the us	1
human rights violations	0
successful so far	0
wanted	1
imperialist forces	0
legitimate self - defence	1
new dimension of crime against humanity	0
as good as his word	0
decided to back	1
to send a memorandum of protest	0
want	1
want to help	1
summits , '	0
am sure	0
crude example	0
will be able to handle any kind of incident	1
having opted for	1
denouncing	0
withdrew support	0
so many uncertainties	0
criticism	0
made pronouncements against	0
sound	1
interests	1
allies are not satellites ,	0
the situation is great	1
very robustly	1
is committed	1
conquering	0
adequate	1
wish	1
daylight robbery	0
persistent and deliberate fuelling	0
caused shudders	0
voiced opposition	0
attached little value	0
sabre - rattling	0
peace and compromise	1
aims	1
to back	1
contradictory	0
have expressed dissatisfaction - but not surprise	0
upholding	1
would continue to support	1
amazingly roomy	1
the threats launched	0
anger	0
a free hand regarding chechnia	1
inevitably succumb	0
insisted	1
gratitude	1
violate human rights	0
has quite a sharp insight	1
most disturbing of all	0
called on	1
will certainly eat their own bitter fruit	0
peace	1
determination to confirm and honor	1
dangerously absolutist and simplistic stance	0
bury past differences	1
only major obstacle	0
claim	0
self - styled	0
a true muslim fighter	1
deplored	0
smoothly and flawlessly	1
can prevent	1
will put up with	0
we should the use the current to our mutual benefit	1
lost the reputation of commitment to principles of human justice	0
sad	0
when will a coup not be called a coup	0
quite good	1
to understand	1
express their concern	0
deep unpopularity	0
really cleaning up	1
provoke an aggressive war	0
condemned	0
we would be digging ourselves out of the ruins at this time	0
extremely well prepared	1
should be considered as legitimate	1
breathless armchair hyperbole	0
congratulated	1
wished	1
tensions	0
quite a problem	0
utter defiance	0
definitely the third side will go to no one but britain	0
protested against	0
more prudent	0
suspected	0
growing perception	0
view	0
lost the game	0
whether	0
moral mistake	0
largely satisfactory and transparent	1
praised	1
scenes of destruction	0
provocations	0
endorsement	1
ghost of a military insurgency	0
balmy	1
was unable to explain	0
should be fully guaranteed	1
accusations	0
with the support	1
demands	1
to contest	0
criticism	0
the superpower has decided to wage war and administer justice all on its own	0
had anyone checked	0
condemn	0
protests	0
embraces	1
full support	1
want	1
do wish	1
has threatened	0
rather than a product of comprehensive reasoning	0
rejection	0
the political strong man	1
openly took issue	0
opposed	0
hopes	1
a coup	0
everything good and nice	0
not allowed to move freely	0
illegitimate	0
our renegade province	0
even if their special status comes from the fact	0
the world's biggest exporter	0
historic milestone	1
confidence	1
could not have wished for a better situation	1
disapproves	0
centered	0
invites	0
warned	0
it is a canker in the heart , that spreads by vanity through the human soul , turning worldly into spiritual failure	0
trampled over	0
extremists	0
that sort of trust takes several years , if not an entire generation , to rebuild	0
failure	0
congratulated	1
have been concerned	0
grave violations	0
sending out a clear message of peace that is loud and clear	1
neat stuff	1
have called for	1
charge	0
setting partisan attitudes aside	1
chavez was right	1
does not reflect	0
cope	0
always	1
concern	0
harsh criticism	0
false	0
hardline	0
remarkable	1
appreciated	1
victory of justice and freedom	1
resistance against	0
crack down	0
has refused to make any statements	0
does not wish	0
far more bares bones	0
alarming	0
failure to gain legitimacy	0
if painful	0
to do away with	0
telling	0
support	1
the action of several military generals	0
groundless plot	0
being blamed	0
had expressed the hope	1
could n't care less	0
urged	1
expressed concern	0
be settled within the un framework	0
wants	1
troublemaking	0
guaranteeing peace , security , and stability for all nations	1
tarnishing the image	0
opposing	0
am sure	1
might already be implementing	0
however	1
snapped at	0
against	0
that's exactly what duhalde most lacks	0
allegations	0
shouting insults	0
will be able to achieve balanced economic growth	1
had favored	1
criticizing	0
to convince	1
refused by	0
have to keep them happy and healthy	0
are calling for	1
will make an important contribution	1
violated his military oath	0
were opposed	0
positive	1
horrible	0
little more than	0
likely to grow	0
does not reflect	0
more politely	1
to approve	1
