document	label
epic - sized default	0
slammed by	0
product of `western biased	0
misguided	0
disenfranchised	0
want	1
criticizing not	0
hope	1
irritated	0
oppression	0
universal character of the prophets	1
charging	0
condemn	0
civilized	1
support	1
inaccurate	0
credited for	1
support	1
calls for	1
refusal to respect its obligations	0
mutual desire	1
had argued	0
worries	0
does not look very good	0
hoped	1
reminiscent of the turbulent days of military rule from 1976 to 1983	0
even against vehicles transporting pregnant women in labor and against unarmed citizens	0
daylight robbery	0
immediate exploitation	0
sudden deterioration	0
gives priority	1
intimidation and violence	0
deliberately	0
support	1
inefficient argentine automakers	0
threats	0
hand it the bill	0
not a single day would pass in peace and with no palestinians shedding blood	0
clearly	1
wanton destruction of property	0
confidence and high esteem	1
thousands of its supporters denied the vote	0
have been endeavoring to prevent	1
did not agree	0
the objections	0
support	1
expose all venezuelans to national and international ridicule	0
in doubt	0
total disregard	0
no to peace	0
terrorists	0
play into the hands	0
pleasing it is to my own ears	1
the door remains wide open	1
will pose a merciless annihilating blow	1
surge	0
not my problem	0
wanted to ignore economic issues	0
angry	0
traitor	0
there was a lot of fear and tension	0
are feeling	0
suspect electoral practices	0
bold	1
unimpressed	0
but now	0
superior	0
criticism	0
can affect	1
provocation	0
compared	0
criminals	0
all by himself	0
does not desire	0
fraud	0
concern	0
undermining the legitimacy	0
seeking	1
rejected	0
conceded	0
absolutely the right thing to do	1
enjoying	1
jetted	0
horrifying act of oppression	0
clearly at this point there is no cause	0
normal relations	1
his victory speech	1
unbelievable provocation	0
facts are incorrect	0
hailed	1
charging	0
leadership	1
the rule of law is under fire	0
not selective	1
may not be what everyone wants	0
threaten	0
allow	0
can not refuse offering cooperation	1
to deny	0
grieving	0
expressed	1
as if the crowd and people's nerves were already not enough to heat up the atmosphere	0
fearing	0
irresponsible saber rattling	0
concern has spread	0
concern	0
insist	1
support	1
has called on	1
pledged to fight	0
rising chorus of domestic and international outrage	0
sought to ease	1
merely reflects	0
backing away	0
reaffirmed	1
have sought	1
shallowness of his commitment	0
backed out	0
a relief to	1
locked in a verbal war	0
the disagreement	0
really had reached	0
unprecedented	0
have tended to side	1
tending to express itself outside of any institutional control	0
they're terrorists , they're murderers	0
respect	1
nostalgia	1
the protests	0
can not last	1
pretends	0
concern	0
roughly	0
joined in a giant protest	0
unlimited capabilities	0
denunciation	0
not for skyjackers	0
commitment	1
accused	0
support	1
not regular patients	0
not a normal country	0
axis of evil	0
impatience	0
as small ( yet acceptable ) as possible	1
ignore the consequences	0
will be respected	1
believing	1
a lot better than they are	0
determined	1
will be forced to introduce	0
collapse from within	0
violates international agreements	0
hostility	0
accused	0
trying to re - assert neocolonial rule	0
opposed	0
denunciation	0
indeed a good day	1
gross violations	0
was a good thing for the hemisphere	1
must warn	0
in mourning	0
those who are not with him are against him	0
largely satisfactory and transparent	1
maltreated	0
possible regression	0
an even worse situation	0
have its way with	0
deadly	0
the sense of frustration	0
scorn	0
am shocked	0
concerns	0
not only earned a bad name	0
significantly	1
dont want	0
war freak	0
urged	1
all this time	0
have called on	1
expressing discontent	0
were irritated	0
to ask	1
dangerous situation	0
turned out to be impossible	0
had alienated	0
was conducted in such a way as to favour the ruling party	0
not responsible	0
to guarantee	1
nations will vanish from the face of earth	0
the will of the people is realised	1
good news	1
was particularly pleased	0
in the guise of its so - called war on terror	0
concerns	0
the main concern	0
slams	0
marred by state - sponsored violence	0
go into the streets en masse and defend and support	1
torture	0
of instigating the looting to overthrow the government	0
emphatically condemned	0
staying	0
condemned and counter - attacked	0
a superficial exercise	0
supported	1
remove suspicion	0
disagrees	0
urged	1
optimists	1
shocking swing	0
hopes	1
neither	0
demonstrations against	0
been eaten by the minotaur	0
injustice	0
drew flak from	0
violated	0
lack of religious freedom	0
this right - this right right	0
bring hope for african economic renewal and greater democracy	1
we fought for half of our lives	0
viewed	0
he should receive a vote of confidence	1
realise	0
is to permit decay	0
happy	1
resolve all issues peacefully	1
without just compensation	0
more clearly	1
accused	0
opposition	0
do reject	0
axis of evil	0
suggestions	1
allow for a semblance of a free and fair ballot	1
serious	0
would stabilize	1
angered	0
completely supports	1
wise	1
judging from	0
opprobrium	0
displeasure	0
warned	0
chanted	0
have refused to serve	0
most disturbing of all	0
to understand	0
was favourable	1
why is it not considered equally legitimate	1
everyone pays dearly for his mistakes , and somehow manages as best he can	0
would like to request	1
extremist gang	0
would still soar	0
wants to disguise	1
is achieved after thousands of years of research	1
only	0
speak ill	0
more international responsibility	1
unreasonably	0
the point	0
readiness to enter dialogue	1
lumping	0
no international problem	1
too high	0
have made clear their stand against	0
dismissed	0
showed little - disguised irritation	0
aspirations	1
the arrows	0
charge	0
support	1
unilateral policy does not identify any limits for itself	0
bungled its dealings	0
fell out	0
had hit	0
make a protest	0
duress	0
have hinted	0
provocative	0
positive	1
would improve	0
was almost overly humane	0
the accusations	0
implored	1
could understand	0
club gitmo	0
gratuitously destructive	0
personal safety to be ensured	1
as if it was a greek cypriot republic	0
force us	0
zealots	0
accusing	0
does not want	0
not based on fears	1
need to establish a just peace	1
chavez was right	1
break the spirit of	0
called on	1
endorsed and supported by	1
biggest global problem we are facing today	0
fears and concern	0
exalted	1
in cages	0
always great	1
attempts to suppress	0
lumping	0
sent congress a message calling for	1
accuse	0
were in line with	1
support	1
sent a letter of protest	0
deals a blow	0
not happy	0
suggestions	0
only solidarity and generosity	1
ugly	0
nostalgia	1
no tears for tobin , but some for al - qaeda	0
breathless armchair hyperbole	0
at best	0
has been accused	0
timely	1
evil	0
old bullying	0
islam is not alone targeted	0
unpleasant	0
would protest	0
strong support of	1
keeping a wary eye	0
condemned	0
defended	1
criticisms	0
so - called	0
will not allow	0
strongly criticized and condemned	0
they can not be trusted	0
counting on	0
false	0
filed a complaint	0
fails to mention	0
more leisurely	1
rejecting	0
not	0
welcome	1
a nation that ``continues to flaunt its hostility toward america and to support terror	0
with good economic management , israel should have little trouble	1
so help me god	1
totally biased	0
must think	1
not convincing	0
deleterious	0
the protests	0
his aggression	0
claiming	0
domino effect	0
the same and worse	0
victor ,	0
not in line with international standards	0
affirmed	0
are denouncing	0
do wish	1
linked	0
to protest	0
branded	0
botched coup	0
questioning	0
exactly the opposite	0
not inclined to give way to rapture	0
demanded heavy expenditure	0
again triggers the red light	0
scapegoats among the weirdoes	0
have rankled	0
gives the saudi government its due	1
stuck in the middle	0
insisted	1
lowly outpost	0
falling victim	0
absurd	0
outcry	0
support	1
expressed satisfaction	1
too is seriously damaged	0
through a crafty ruse	0
other than that , nothing will count	0
the most magnificent	1
are also being encouraged	1
want	1
proposals	1
current understanding	0
was seen	1
storming palestinian territories	0
calls	0
warning	0
legal protection and backing	0
serious division	0
enemy	0
should not be afraid of persecution	1
stop intervening	0
for the most part	0
the perpetrators	0
fight against	0
fully respected	1
dismisses the notion	1
looked to	1
criticism	0
continue to urge	1
can not be solved by washington's arbitrary decision	0
on suspicion of	0
distanced themselves	0
proudly exercise	1
violent protests	0
however	0
allegations	0
smooth - flowing	1
has accused	0
good	1
kick chavez out of power	0
who brag	0
denounced	0
crimes of war	0
an interruption of the constitutional order	0
violation of the palestinian people's human rights	0
going haywire to dominate the world	0
all was not lost	1
advised	1
beyond reproach	1
resentment	0
with respect to the principles of democracy and freedom	1
openly took issue	0
puts every jew and every israeli to shame	0
sided with	1
support for	1
not putting their letterhead on anything	0
tremendous opportunities	1
supports	1
very negative	0
will fight on	0
confiscate	0
perceived	1
confidence	1
seizes a weeping globe in his monster - size hands	0
over something as petty as envy	0
is accused	0
parliamentarian	0
typical texan mentality	0
calling	0
appealed	1
showered upon favours	0
coveted	1
the explanation is , in fact is deceiving	0
inexcusable mistake	0
rhetoric of that kind	0
hegemonic	0
astonished	0
simply to rubber stamp	0
by failing to hold firm	0
could trigger a reaction	0
end of its colonialist occupation	0
was n't easy	0
have been signed to promote	1
breeds insecurity	0
dangerous	0
huge excitement	1
not in step with	0
warned	0
making it easier to stuff ballot boxes	0
peaceful	1
will now agree	1
targets are the groups that are regarded as enemies	0
enshrined	1
goodies	0
topple	0
swift criticism from	0
fear	0
if the world has to rid itself	0
we look at a bleak future	0
posed a credible security threat	0
riots and widespread strikes	0
protest	0
playing the part of a thug who is feared by all and who likes to punish anyone that complains about his behavior	0
a country club	0
i will have won	1
rigged	0
has asked	1
yardstick for progress	1
the top violator of human rights of the last christian year	0
occupation	0
far preferable	1
wide awake	1
refusal to accept	0
renunciation of its mentality of domination and expansion , which have caused calamities and catastrophes in the past five decades	0
opposing	0
scorned	0
between civilization and barbarity	0
would interfere	0
thus shattering	0
feeling of uncertainty	0
fairly strong	1
interested	1
flaws	0
in the hands of presidential cronies and members of the ruling party elite	0
are not sympathetic	0
honored his commitment	1
taking action against	0
meet with a total failure	1
maintains the commonwealth's credibility	1
came to the support of	1
chilly	0
every effort possible	1
if arafat fails to fulfill them	0
was mistreating its hostages	0
israel be harshly condemned	0
pose ``a grave and growing danger	0
referred to	0
upright	1
indirectly criticised	0
arbitrary	0
has heightened the suspicion	0
warned	0
have given proof of illegality and political persecution	0
fraud	0
bitter	0
the most shameful detentions in the history of post - war incarceration in the 21st century	0
criticised	0
not even	0
treated well	1
boycotted	0
raise questions	0
is considered	0
use the situation to gain the upper hand	0
bent on	0
worst unrest	0
inhumane	0
a little uneasy	0
had been legitimate	1
protests	0
please	1
not only	1
best news	1
favored	1
to approve	1
were suffering	0
would still never be justifiable	0
new - found	0
undermining everything	0
whom does he think	0
inhumanely	0
is feared	0
first organized protest	0
favourable	1
are especially critical	0
cautioned	0
understanding , cooperation and full support	1
running slightly against	0
nasa has to clean up its act	0
tone down	1
suspected	0
strengthening our economy	1
some breathing room	1
to express concern	0
denied	0
bear this patiently	1
access of evil	0
charges	0
hegemonic and belligerent policy	0
was hailed by	1
are unanimously demanding	1
the nature of	0
labeling	0
just peace	1
who does not miss an opportunity	0
sneering	0
see	0
free fall	0
rated	0
fostering trade anarchy	0
such an	0
not going to let it go	0
is this how	0
cold monster	0
end up like french algeria	0
desperation of the people	0
loved	0
warned	0
decision to condemn	0
the destruction	0
that there is a future to be built	1
highly unclear	0
grave violations	0
congratulated	1
big secret	0
recognition	1
would like to tell	1
get away with bad policymaking	0
country of enormous potential	1
fair	1
obstacle	0
for otherwise	0
so great as to remove any sense of common ground	0
called on	1
to threaten the stability and security of the world	0
thanks to gains	1
support	1
may be seeking to cause damage	0
criticism	0
a correct solution	1
promised	1
warning	0
the dissent	0
so that	1
did not adequately allow the free and fair expression of will	0
about three million bitter people	0
had warned	0
wished	1
i lost any sense of dignity	0
stop his repression	0
due to those who stand in the way of the settlement	0
threat to its security	0
supposed pre - eminence	0
slander	0
in any doubt	1
accusations	0
the deeper truth	1
significant	1
is happy to see	1
incapable	0
troublemaker	0
complained	0
only	0
called for	1
truly inconceivable	0
was slandering	0
scheme	0
come to its senses	1
like hitler's threats	0
stormy celebration	1
even more intolerable	0
support	1
humane and reasonable	1
could force	0
intolerant	0
bothered	0
including their respect and sanctity	0
were opposing	0
always underscores	1
to pay attention to respecting	1
advisories	0
one - sided war	0
was it only the wish of socialist propaganda in those words	0
powder keg	0
smoothly	1
excessive	0
mate up with terrorist organizations	0
likely to grow	0
we also owe those in uniform the resources they need to maintain a very high state of readiness	1
more dynamic	1
wants	0
like	1
americans are good ,	0
only in retaining power at any cost	0
rigged	0
celebrated	1
promises	1
not satisfied	0
do not recognise	0
reduced to objects	0
would support wholeheartedly	1
was a strong desire among	1
were likely not to be free and fair	0
needs to cooperate	1
often spent years in solitary confinement	0
nibbling	0
sillier still	0
failure	0
such was the very sin	0
pretend to be	0
more serious with the passage of time	0
extraordinary	1
should follow	1
only	0
to demand	1
state - sponsored	0
corruption	0
impossible to achieve coexistence	0
are only dictated to him	0
as patients	1
unfortunately	0
comforting sense of personal and national vindication	1
aim	1
still committed	1
concerning their life and death	0
camp x - ray	0
hurry up and wait .	0
believes	0
to dictate	0
victimizing the lives	0
rejecting	0
supporting	1
would not only serve zinni's mission	1
shook	0
displeasure	0
and yet	0
deal with this flawed election	0
were ill - received	0
fundamentally unfair and unjust	0
it's shameful	0
to encourage	1
paralyzed	0
hoped	1
support	1
greater elaboration	1
is already under fire	0
wants	1
not devoid of slips of the tongue	0
in a state of war	0
the protest	0
congratulated	1
is a thorn in the eye and flesh which must be removed	0
crushed politically , socially , economically	0
have been extremely critical	0
insisted	1
feared by	0
in metal cages named detention centres	0
claims	0
a chilly reception	0
strong resolve	1
if i let it get to me	0
called on	1
masterminding	0
mutual respect	1
refused	0
would like	1
acts of insubordination	0
to criticize	0
rejects	0
already turbulent	0
hard - core	0
had expressed optimism	1
difficult	0
retaliate	0
difficult	0
wanting to exercise world dictatorship	0
upholder of justice	1
should be looking up smiling	1
indulging in blood - shed and their lunaticism	0
perennially divisive issue of taiwan	0
want	1
continues to refuse	0
a valentine to the coal and oil industry	0
a puppet of london	0
will have trouble wriggling out of the need to explain and justify	0
asking for	1
a better life	1
new political bogey	0
at least	1
spurned	0
are scheming	0
extremist inclinations	0
the magnitude of the threat they pose	0
we should the use the current to our mutual benefit	1
core	0
to describe	0
became an enthusiastic member	1
instigating	0
confidence	1
totally lack planning and administrative control	0
overshadowing	0
several occasions	0
far - reaching repercussions	0
warning lights are flashing	0
alleged rigging	0
have advocated	1
plan	1
refused	0
sheer lies	0
do not proceed to condemn them	0
shameful	0
utilizing force in an inappropriate volume	0
biased propaganda	0
sharp divisions	0
axis of evil	0
could not take any risk of ruffling the republicans	0
it could blossom	1
clearly did n't work	0
may even get better	0
call on	1
chooses to disregard	0
is but a signboard used by the united states	0
cultural preference	1
non - white anglo - saxon - protestant humanity	0
enormous	0
asked	1
concern	0
axis of evil argument	0
so exciting	1
bristle at	0
argentines were obsessed with their past triumphs	0
did not conform to international standards	0
will respect	1
are a little testy	0
want	1
negatively	0
exploiting	0
message	0
incompetent	0
all these are eyesores	0
combative talk	0
was critical of	0
just cages	0
responsible	1
will develop a relationship of cooperation	1
``red light'' has been issued	0
criticism from	0
were red - penciled	0
great israeli empire	1
preferred	1
complained	0
worst showing ever	0
twists and turns	0
might already be implementing	0
had expressed doubt	0
can not accept	0
dangerous	0
despite the sept . 11 atrocities	0
closer to that of cowboys than to a civilized mentality	0
his best	1
sadly	0
there is no reason to cavil	0
has pledged	1
not profitable but costly	0
disapproves	0
promote	1
am sure	0
humiliate	0
credible	1
could not have wished	1
have each accused the other	0
perception	0
urged	1
his goal	1
charged	0
will once again feel	0
to fight	0
plotting to bring down each other	0
are deeply skeptical	0
rigging	0
scrupulously avoided	0
a former army coup - meister himself	0
policy of provocation	0
was wrong	0
are bent on destroying	0
rediscovered	1
repudiates	0
so - called	0
evil empire	0
ugly split	0
complete disregard for the plight of the palestinians despite timid warnings to israel	0
widened	1
excited	1
criticism	0
far from condemning	0
declared	0
exercising leadership	1
how accustomed they are to trickery	0
in the worst sort of way	0
supporters	1
killed and injured thousands of innocent afghans	0
not even be sufficient	0
respect	1
artificial obstacles	0
ambiguity	0
doubly embarrassed	0
is calling for	1
rejection	0
access of evil	0
axis of evil	0
any danger	1
it is conducting a war without rules	0
already	0
have been cool	0
war crimes	0
criticizing	0
axis of evil	0
little one can do about it	0
despite widespread fatigue caused by successive austerity drives	0
human rights violations	0
little support	0
protested against	0
by flashing a carrot on a stick	0
denied	0
adequate	1
very pleasant for	1
a late resolution	0
urged	1
very easily lost	0
unusual	0
voices criticizing	0
interfere	0
under the pretext of the fight against terrorism	0
had taken serious steps to ensure the personal safety	1
would surely be higher still	0
basic doubts	0
declined	0
destroys	0
current extremely perilous situation	0
anticipated	1
peaceful	1
ban on holidays and a golden retirement	0
attacks	0
a coup	0
criticism	0
provoked	0
realizes	1
disguises	0
have criticised	0
loyal	1
moments of terror	0
bury past differences	1
invoking sanctions against	0
are confident	1
tragic circus	0
condemnation	0
but to understand	1
rows	0
are nervous	0
gravity	0
badly battered	0
flawed	0
angry	0
batted an eyelid	0
who were deprived of the minimum political and human rights	0
remarks branding	0
it is true	1
needs to discipline	0
without having any proof , reason or documentation	0
is advocating	0
axis of evil	0
scuzz	0
axis of evil	0
agreed	1
inaccurate and fabricated	0
committed	1
did not adequately	0
chanting	0
all manner of	1
is not , in the first place , willing to recognize	0
nonsense	0
sets a dangerous precedent	0
timid warnings	0
will work non - stop	1
may also have changed nothing	0
bore the responsibility for the confused events	0
the support	1
there is no scope for such madness	0
would also ensure a durable peace	1
may still hope	1
was rejected	0
chain reaction	0
were widely criticized	0
free and fair	1
a staunch ally	1
rapprochement between	0
had no confidence	0
simply	0
would be a positive development	1
more restrained and responsible	1
risks	0
keep up the hope	1
will be lower	1
firmly on the wrong side of international law	0
is accused	0
merely	0
enormous concern	0
comprehensively blamed	0
israel's superior ability to punish palestinians	0
sit in judgment	0
will not change	0
it's not a bad deal	0
threat	0
injustice can not last long	0
also hope	1
destroying	0
consequences	0
had asked	1
instrumental	1
will not be the same as	0
pre - attack marker	0
appeared surprised	0
promote	1
held	0
now is not the right moment	0
may better	1
immediate support	1
will accept	1
for months	0
venezuela's constitutional president	1
punish	1
to applaud everything	1
the situation is great	1
reconciliation	1
this is bullshit	0
supports	1
by cheating	0
concern	0
cuban club fed	0
god is their only hope	1
true threat	0
punched	0
unprecedented force	0
lamented	0
further hatred and a further escalation of the violence	0
was important	1
always above everything else	0
aided and abetted	0
was condemned	0
criticism of	0
call for	1
will have all sorts of misgivings	0
depends on	0
ignored	0
legitimate	1
axis of evil	0
fundamental freedoms	1
concerns	0
a terrorist act	0
terrorists	0
protests	0
endorsed	1
it seems doubtful	0
adversarial us position	0
axis of evil	0
see	0
loudly and clearly	1
a convenient electoral tool	0
threatened	0
thanked	1
immediately blasted	0
playing with fire	0
it will not be a coup so long as the united states thinks it is not	0
is not in control	0
reminded	0
eternal scourge of corruption	0
continues to demolish	0
in the hope	1
that privilege	1
bloated budget	0
voices can not be heard by anyone	0
has been efficient enough	1
damage	0
new beginning	1
did not recognise	0
the support	1
not true at all	0
honored his commitment	1
hailed	1
if i do not save them , i do not save myself	0
has been committed	1
resorting to	0
because	0
wisely	1
encouraged	1
apprehensions and resentment	0
has been dragging along	0
protests	0
concocted	0
m feeling much better	1
is self - inflicted	0
reducing their margin of security	0
does not mean	0
to mould the electoral process in his favour	0
claim	0
angry	0
is committed	1
o'keefe jumps with both feet into this fiscal morass	0
calls	0
a halfway house	0
crush us at all costs	0
ideals	1
commitment	1
fuel - guzzling	0
hue and cry	0
see	0
would therefore be appropriate	1
like crap	0
cracks are appearing	0
will make an important contribution	1
highly in favor	1
opposed	0
unfair	0
damning report	0
wwanted	1
committed	1
all the mighty	0
insulting	0
being power - hungry	0
enormous implications	0
well - organized participation	1
were considered	0
are getting better	1
biggest	0
immediately lapsed into hysterics	0
did not succeed	0
sensible	1
are regarding	0
concerns	0
urged	1
under the pretext of security considerations	0
succumbing	0
back on track	1
should not be used to justify	0
more muted and often self - satisfied	0
against the enemy	0
wept over	0
support	1
staggering	0
only create mistrust	0
refusing to buckle	1
realized	0
no one wept over him	0
satisfied	1
break the spirit of	0
will put up with	0
real	1
axis of evil	0
peacefully	1
call	0
numerous and profound irregularities	0
more precise	1
would not accept	0
should take place	1
problem is	0
flexibility	1
more and more difficult	0
overcome	1
mandatory	0
simplistic interpretation	0
want	1
threatened	0
friendly relations	1
accused	0
maintains its support	1
confidence	1
hyperbole ,	0
to paint a dark picture	0
how capricious	0
to honor	1
possible excesses and violations of rights	0
thunderous applause	1
explicit statements of support for	1
exacerbating	0
that we unite and come together as one people	1
want	1
sense of belonging	1
do support	1
a success	1
protestations	0
extended an olive branch	1
criticized	0
will of	1
worlds cracked apart	0
touched such heights	0
these values and ideas	1
hoped	1
declining to endorse	0
raving	0
not stained with blood	1
the possibility	1
warned	0
sustained government - orchestrated campaign of intimidation and violence	0
constant aggressive attitude	0
expressed sympathy	0
vented her anger	0
hate	0
should not forget the horror	0
the greatest evil	0
harms	0
condemned	0
could bring about a confrontation for power	0
bleeding hearts	0
protesting	0
pretexts	0
how far the arab world has come	1
can serve as a model	1
because it believes in victory	1
by any means	0
brazen distortion	0
sought	1
veils his fears and traumas	0
the tale today is all the more bitter as it began with such euphoria	0
restricts	0
and punish those guilty	0
manifestation of its hegemonistic designs	0
fiendish - looking	0
alienate itself	0
terror compound	0
tough guys	0
protect the environment	1
axis of evil	0
in death rather than staying alive under occupation	0
abandoning a longtime client	0
excellent	1
violators of human rights	0
oppose	0
better cared for	1
thanks to the taliban regime	0
endorsed	1
unfounded charges	0
attempting to develop weapons of mass destruction	0
the criticisms	0
without exception	0
the gitmo gandhis	0
pained him	0
pretext	0
illegal combatants	0
believes	1
is supporting and protecting	1
asked	1
are not competitive enough	0
increasingly close	0
israel would gain peace and security	1
israeli aggressors	0
has proven to be	1
outright isolation	0
a great wall of china in the middle east	0
arbitrarily	0
all kinds of provocative activities	0
this is the final nail on the government's coffin	0
even congratulated	0
rigged	0
create stumbling blocks	0
serve its political purpose	0
challenged	0
thankfully	1
is not shaping up as a romance	0
pathetic in that	0
will only invite worse criticism and rejection	0
horrifies	0
inhumane	0
as good as his word	0
doing their utmost	1
ruined	0
rage	0
more sympathetic	0
worry	0
axis of evil dogma	0
break' the spirit of	0
accuses	0
congratulate	1
irked	0
of course	0
are irritated	0
i ca n't imagine anything that could surpass that	1
incommunicado detentions	0
have called for	1
only deserves rejection	0
running as a hopeful	1
are vegetating in a place where they have no rights	0
warned	0
an excuse for repression	0
oppose	0
because of the legal nuances	0
accused	0
to defer or reject	0
asked	1
what he called	0
hold in	1
congratulated	1
considered	0
in whose chests the fire of anger is blazing	0
well , heaven without the 72 virgins	0
ok's	1
makes the republic of china vanish	0
attempted	0
barbarities	0
raving	0
regards	1
accusing	0
an obsession - - fidel castro's downfall	0
have not been able to live without	0
this country can not be brought to prosperity	0
let's support them	1
even more dismal	0
taken palestine hostage	0
free and fair	1
hopes	1
the unconditional support	1
stalemate	0
the further	0
involves some contradictions	0
eventually offered talks	1
position and particular stance opposed to	0
worries	0
transparent , credible , free and fair	1
clear and do not need further clarification or explanation	0
his victory was a triumph against the west and whites	1
reproached	0
fall far short of	0
uncertainties	0
firmly opposed	0
our renegade province	0
ends up causing damage	0
triumph for human rights	1
an enemy	0
most atrocious human rights violations	0
immediately lapsed into hysterics	0
principles of justice	1
nor will mr . stoiber have any illusions	1
desperate	0
great people	1
most audacious	1
unbearable burden	0
chile is not iraq , nor is lagos saddam , fortunately , of course	0
we will bury	0
other aggressive acts against lebanon	0
view	0
was angered	0
very likely continue to lose our edge	0
like clinton	0
urges	1
the axis of evil remark	0
breeding ground	0
violent enemies	0
main cheating	0
the us was the only judge of what was reasonable	0
niceties	1
somewhat insane	0
true	1
axis of evil theory	0
add fuel to the raging fire	0
violated	0
it is a canker in the heart , that spreads by vanity through the human soul , turning worldly into spiritual failure	0
promises are cheap	0
understanding and support	1
intimidation	0
want change	1
breaking fundamental concepts	0
slow	0
retaliating	0
thanked	1
praising	1
everything	0
blessed	1
tough policy	0
formation of good neighborly field	1
am confident	1
will be irresponsible	0
the last thing	0
adulterated	0
insidious	0
lecturing	0
would be accepted	1
condemning	0
frighten	0
a forerunner in the sphere of human rights in the world	1
seeking	1
these goals	1
so vast	0
reflect the firm resolve	1
unfair	0
bias against	0
never stopped to consider	0
without comprehensively consulting with the countries concerned	0
`world judge of human rights'	0
pronounced	1
guaranteed	1
is proud	1
blaming	0
an air of indignation	0
forced him	0
hopes	1
continuously cooperating	1
uphold	1
will not concur	0
legitimate national rights	1
sent an official protest	0
render their firm support	1
fraught	0
do n't look natural	0
warned	0
a bitter pill to swallow	0
condemnation	0
will never accept	0
superb ability	1
does not take any responsibility	0
devastating	0
national aspirations	1
likewise thwarted	0
persecuting	0
expressions of support	1
opposition	0
rejected	0
demonstrates strong commitments	1
force us	0
crush	0
the world's biggest exporter	0
what is non - wasp humanity	0
only half as wild	0
demolished	0
appeal	1
respecting	1
threats	0
condemn	0
can support	1
peace	1
to be invited	1
revolutionary process	1
like alcatraz or devil's island	0
endorsed	1
intensified	0
was not killed	0
fraud	0
nor is the outcome illegitimate merely	0
fear	0
never	0
no reason at all	0
has an interest	1
feeling sorry	0
dominant	1
implicitly encouraged	1
should not	0
are probably not picky	0
that's a fair deal	1
develop its relations	1
there is need for a partnership	1
burn out	0
legitimacy	1
a road to peaceful coexistence	1
offered to hold talks	1
hope	1
the most reasonable path for the time being	1
none of them	0
renegade	0
the cia would organize coups and assassinations to further us interests	0
threat	0
stressed	1
a shocking story	0
strongly condemn	0
two forms of terrorism fuel each other	0
have supported	1
imposed by military force	0
children in distress	0
systematic campaign of violence	0
will have sown the seed	0
expressed alarm	0
more sanctions should be imposed	0
attack on our global village	0
could destabilise	0
danced in celebration	1
seriously	0
the opposition	0
friendship	1
respect	1
smear campaign	0
positive responses from	1
concerns	0
probably never	0
the warning	0
pent - up demand	1
it could be better	0
gaffe	0
to the contrary	1
could think of nothing better	0
phenomenon	0
troublemaking	0
are often tainted with a significant degree of hypocrisy	0
