detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
sst2&mr	1	14	0.5575	test_mpqa	1.0	0.359	0.5283296541574687	2000
sst2&mr	1	14	0.5575	test_mr	1.0	0.6225	0.7673343605546996	2000
sst2&mr	1	14	0.5575	test_sst2	1.0	0.497	0.663994655978624	2000
sst2&mr	1	14	0.5575	test_subj	1.0	0.438	0.6091794158553547	2000
sst2&mr	1	14	0.5575	test_trec	1.0	0.2215	0.36266884977486696	2000
sst2&subj	1	1	0.676	dev_sst2	0.6419354838709678	0.796	0.7107142857142859	1000
sst2&subj	1	1	0.676	dev_subj	0.7315789473684211	0.556	0.6318181818181818	1000
sst2&subj	1	1	0.676	test_cr	1.0	0.649	0.7871437234687689	2000
sst2&subj	1	1	0.676	test_mpqa	1.0	0.944	0.9711934156378601	2000
sst2&subj	1	1	0.676	test_mr	1.0	0.1835	0.3100971694127588	2000
sst2&subj	1	1	0.676	test_sst2	1.0	0.775	0.8732394366197184	2000
sst2&subj	1	1	0.676	test_subj	1.0	0.547	0.707175177763413	2000
sst2&subj	1	1	0.676	test_trec	1.0	0.9815	0.9906636386575827	2000
sst2&subj	1	5	0.665	dev_sst2	0.6356907894736842	0.773	0.697653429602888	1000
sst2&subj	1	5	0.665	dev_subj	0.7104591836734694	0.557	0.624439461883408	1000
sst2&subj	1	5	0.665	test_cr	1.0	0.62	0.7654320987654321	2000
sst2&subj	1	5	0.665	test_mpqa	1.0	0.188	0.3164983164983165	2000
sst2&subj	1	5	0.665	test_mr	1.0	0.1875	0.3157894736842105	2000
sst2&subj	1	5	0.665	test_sst2	1.0	0.779	0.8757729061270377	2000
sst2&subj	1	5	0.665	test_subj	1.0	0.5495	0.7092610519522426	2000
sst2&subj	1	5	0.665	test_trec	1.0	0.8065	0.8928867976750623	2000
sst2&subj	1	14	0.6875	dev_sst2	0.6579612468407751	0.781	0.714220393232739	1000
sst2&subj	1	14	0.6875	dev_subj	0.7306273062730627	0.594	0.6552675124103695	1000
sst2&subj	1	14	0.6875	test_cr	1.0	0.5775	0.7321711568938193	2000
sst2&subj	1	14	0.6875	test_mpqa	1.0	0.104	0.18840579710144925	2000
sst2&subj	1	14	0.6875	test_mr	1.0	0.2185	0.3586376692654904	2000
sst2&subj	1	14	0.6875	test_sst2	1.0	0.771	0.870694522868436	2000
sst2&subj	1	14	0.6875	test_subj	1.0	0.562	0.7195902688860436	2000
sst2&subj	1	14	0.6875	test_trec	1.0	0.784	0.8789237668161435	2000
sst2&trec	1	1	0.899	dev_sst2	0.899	0.899	0.899	1000
sst2&trec	1	1	0.899	dev_trec	0.899	0.899	0.899	1000
sst2&trec	1	1	0.899	test_cr	1.0	0.4195	0.5910531877421628	2000
sst2&trec	1	1	0.899	test_mpqa	1.0	0.819	0.9004947773501923	2000
sst2&trec	1	1	0.899	test_mr	1.0	0.08	0.14814814814814814	2000
sst2&trec	1	1	0.899	test_sst2	1.0	0.899	0.94681411269089	2000
sst2&trec	1	1	0.899	test_subj	1.0	0.438	0.6091794158553547	2000
sst2&trec	1	1	0.899	test_trec	1.0	0.893	0.9434759640781828	2000
sst2&trec	1	5	0.9645	dev_sst2	0.9696663296258847	0.959	0.9643036701860231	1000
sst2&trec	1	5	0.9645	dev_trec	0.9594460929772503	0.97	0.9646941819990054	1000
sst2&trec	1	5	0.9645	test_cr	1.0	0.2195	0.35998359983599837	2000
sst2&trec	1	5	0.9645	test_mpqa	1.0	0.995	0.9974937343358395	2000
sst2&trec	1	5	0.9645	test_mr	1.0	0.023	0.044965786901270774	2000
sst2&trec	1	5	0.9645	test_sst2	1.0	0.9545	0.9767203888462523	2000
sst2&trec	1	5	0.9645	test_subj	1.0	0.254	0.405103668261563	2000
sst2&trec	1	5	0.9645	test_trec	1.0	0.957	0.9780275932549821	2000
sst2&trec	1	14	0.975	dev_sst2	0.9797979797979798	0.97	0.9748743718592964	1000
sst2&trec	1	14	0.975	dev_trec	0.9702970297029703	0.98	0.9751243781094527	1000
sst2&trec	1	14	0.975	test_cr	1.0	0.1425	0.24945295404814	2000
sst2&trec	1	14	0.975	test_mpqa	1.0	0.9665	0.9829646580218663	2000
sst2&trec	1	14	0.975	test_mr	1.0	0.017	0.033431661750245825	2000
sst2&trec	1	14	0.975	test_sst2	1.0	0.9655	0.9824472144492495	2000
sst2&trec	1	14	0.975	test_subj	1.0	0.1945	0.32565927166178316	2000
sst2&trec	1	14	0.975	test_trec	1.0	0.961	0.9801121876593575	2000
