detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
cr&mpqa	1	14	0.99	test_subj	1.0	0.107	0.1933152664859982	2000
cr&mpqa	1	14	0.99	test_trec	1.0	0.8355	0.9103786434214111	2000
cr&mr	1	1	0.777	dev_cr	0.7603383458646616	0.809	0.7839147286821705	1000
cr&mr	1	1	0.777	dev_mr	0.7959401709401709	0.745	0.7696280991735537	1000
cr&mr	1	1	0.777	test_cr	1.0	0.7835	0.8786094757499299	2000
cr&mr	1	1	0.777	test_mpqa	1.0	0.968	0.983739837398374	2000
cr&mr	1	1	0.777	test_mr	1.0	0.728	0.8425925925925926	2000
cr&mr	1	1	0.777	test_sst2	1.0	0.699	0.8228369629193644	2000
cr&mr	1	1	0.777	test_subj	1.0	0.84	0.9130434782608696	2000
cr&mr	1	1	0.777	test_trec	1.0	0.957	0.9780275932549821	2000
cr&mr	1	5	0.837	dev_cr	0.8240384615384615	0.857	0.8401960784313725	1000
cr&mr	1	5	0.837	dev_mr	0.8510416666666667	0.817	0.8336734693877551	1000
cr&mr	1	5	0.837	test_cr	1.0	0.8225	0.9026063100137174	2000
cr&mr	1	5	0.837	test_mpqa	1.0	0.9685	0.983997967995936	2000
cr&mr	1	5	0.837	test_mr	1.0	0.7915	0.8836170806586658	2000
cr&mr	1	5	0.837	test_sst2	1.0	0.7855	0.8798655838700644	2000
cr&mr	1	5	0.837	test_subj	1.0	0.8845	0.938710533297957	2000
cr&mr	1	5	0.837	test_trec	1.0	0.7085	0.8293824992683642	2000
cr&mr	1	14	0.861	dev_cr	0.8457854406130269	0.883	0.8639921722113504	1000
cr&mr	1	14	0.861	dev_mr	0.8776150627615062	0.839	0.8578732106339468	1000
cr&mr	1	14	0.861	test_cr	1.0	0.847	0.9171629669734704	2000
cr&mr	1	14	0.861	test_mpqa	1.0	0.977	0.9883662114314619	2000
cr&mr	1	14	0.861	test_mr	1.0	0.8215	0.9020038429865496	2000
cr&mr	1	14	0.861	test_sst2	1.0	0.822	0.9023051591657518	2000
cr&mr	1	14	0.861	test_subj	1.0	0.905	0.9501312335958005	2000
cr&mr	1	14	0.861	test_trec	1.0	0.675	0.8059701492537313	2000
cr&sst2	1	1	0.7625	dev_cr	0.7464788732394366	0.795	0.7699757869249395	1000
cr&sst2	1	1	0.7625	dev_sst2	0.7807486631016043	0.73	0.7545219638242894	1000
cr&sst2	1	1	0.7625	test_cr	1.0	0.774	0.8726042841037204	2000
cr&sst2	1	1	0.7625	test_mpqa	1.0	0.9705	0.9850291804110632	2000
cr&sst2	1	1	0.7625	test_mr	1.0	0.742	0.851894374282434	2000
cr&sst2	1	1	0.7625	test_sst2	1.0	0.7165	0.8348383338188174	2000
cr&sst2	1	1	0.7625	test_subj	1.0	0.849	0.918334234721471	2000
cr&sst2	1	1	0.7625	test_trec	1.0	0.963	0.9811512990320936	2000
cr&sst2	1	5	0.8245	dev_cr	0.8081671415004749	0.851	0.8290306867998052	1000
cr&sst2	1	5	0.8245	dev_sst2	0.8426610348468849	0.798	0.8197226502311248	1000
cr&sst2	1	5	0.8245	test_cr	1.0	0.818	0.8998899889988998	2000
cr&sst2	1	5	0.8245	test_mpqa	1.0	0.979	0.989388580090955	2000
cr&sst2	1	5	0.8245	test_mr	1.0	0.8015	0.8898140438523453	2000
cr&sst2	1	5	0.8245	test_sst2	1.0	0.794	0.8851727982162765	2000
cr&sst2	1	5	0.8245	test_subj	1.0	0.891	0.9423585404547858	2000
cr&sst2	1	5	0.8245	test_trec	1.0	0.7305	0.8442646633920832	2000
cr&sst2	1	14	0.854	dev_cr	0.8352272727272727	0.882	0.8579766536964981	1000
cr&sst2	1	14	0.854	dev_sst2	0.875	0.826	0.8497942386831275	1000
cr&sst2	1	14	0.854	test_cr	1.0	0.8415	0.9139288623404833	2000
cr&sst2	1	14	0.854	test_mpqa	1.0	0.99	0.9949748743718593	2000
cr&sst2	1	14	0.854	test_mr	1.0	0.8265	0.9050095811661648	2000
cr&sst2	1	14	0.854	test_sst2	1.0	0.8275	0.9056087551299589	2000
cr&sst2	1	14	0.854	test_subj	1.0	0.908	0.9517819706498952	2000
cr&sst2	1	14	0.854	test_trec	1.0	0.801	0.889505830094392	2000
cr&subj	1	1	0.8375	dev_cr	0.8174976481655691	0.869	0.842462433349491	1000
cr&subj	1	1	0.8375	dev_subj	0.8601921024546425	0.806	0.8322147651006712	1000
cr&subj	1	1	0.8375	test_cr	1.0	0.852	0.920086393088553	2000
cr&subj	1	1	0.8375	test_mpqa	1.0	0.9365	0.9672088820036148	2000
cr&subj	1	1	0.8375	test_mr	1.0	0.6175	0.7635239567233385	2000
cr&subj	1	1	0.8375	test_sst2	1.0	0.5845	0.7377721678763017	2000
cr&subj	1	1	0.8375	test_subj	1.0	0.769	0.8694177501413227	2000
cr&subj	1	1	0.8375	test_trec	1.0	0.923	0.9599583983359334	2000
cr&subj	1	5	0.8665	dev_cr	0.8454288407163054	0.897	0.8704512372634644	1000
cr&subj	1	5	0.8665	dev_subj	0.8903088391906283	0.836	0.8623001547189273	1000
cr&subj	1	5	0.8665	test_cr	1.0	0.86	0.924731182795699	2000
cr&subj	1	5	0.8665	test_mpqa	1.0	0.896	0.9451476793248946	2000
cr&subj	1	5	0.8665	test_mr	1.0	0.705	0.8269794721407624	2000
cr&subj	1	5	0.8665	test_sst2	1.0	0.7065	0.8280105479050688	2000
cr&subj	1	5	0.8665	test_subj	1.0	0.836	0.9106753812636166	2000
cr&subj	1	5	0.8665	test_trec	1.0	0.5365	0.6983403839895868	2000
cr&subj	1	14	0.8925	dev_cr	0.873453853472883	0.918	0.8951730862993662	1000
cr&subj	1	14	0.8925	dev_subj	0.9135932560590094	0.867	0.8896870189840944	1000
cr&subj	1	14	0.8925	test_cr	1.0	0.888	0.940677966101695	2000
cr&subj	1	14	0.8925	test_mpqa	1.0	0.8505	0.9192110240475547	2000
cr&subj	1	14	0.8925	test_mr	1.0	0.721	0.8378849506101104	2000
cr&subj	1	14	0.8925	test_sst2	1.0	0.7235	0.8395706411372208	2000
cr&subj	1	14	0.8925	test_subj	1.0	0.863	0.9264626945786366	2000
cr&subj	1	14	0.8925	test_trec	1.0	0.6785	0.8084599344652963	2000
cr&trec	1	1	0.9	dev_cr	0.8976143141153081	0.903	0.9002991026919243	1000
cr&trec	1	1	0.9	dev_trec	0.9024144869215291	0.897	0.8996990972918757	1000
cr&trec	1	1	0.9	test_cr	1.0	0.8945	0.9443124835048826	2000
cr&trec	1	1	0.9	test_mpqa	1.0	0.9115	0.9537012817159299	2000
cr&trec	1	1	0.9	test_mr	1.0	0.527	0.6902423051735429	2000
cr&trec	1	1	0.9	test_sst2	1.0	0.4935	0.6608637428858386	2000
cr&trec	1	1	0.9	test_subj	1.0	0.712	0.8317757009345794	2000
cr&trec	1	1	0.9	test_trec	1.0	0.869	0.9299090422685928	2000
cr&trec	1	5	0.981	dev_cr	0.9800399201596807	0.982	0.9810189810189809	1000
cr&trec	1	5	0.981	dev_trec	0.9819639278557114	0.98	0.9809809809809811	1000
cr&trec	1	5	0.981	test_cr	1.0	0.9735	0.9865720800608057	2000
cr&trec	1	5	0.981	test_mpqa	1.0	0.9725	0.9860583016476552	2000
cr&trec	1	5	0.981	test_mr	1.0	0.1525	0.26464208242950105	2000
cr&trec	1	5	0.981	test_sst2	1.0	0.1545	0.2676483326115201	2000
cr&trec	1	5	0.981	test_subj	1.0	0.427	0.5984583041345479	2000
cr&trec	1	5	0.981	test_trec	1.0	0.9735	0.9865720800608057	2000
cr&trec	1	14	0.9905	dev_cr	0.9890329012961117	0.992	0.9905142286570146	1000
cr&trec	1	14	0.9905	dev_trec	0.9919759277833501	0.989	0.9904857285928894	1000
cr&trec	1	14	0.9905	test_cr	1.0	0.9835	0.991681371313335	2000
cr&trec	1	14	0.9905	test_mpqa	1.0	0.8865	0.9398356745295521	2000
cr&trec	1	14	0.9905	test_mr	1.0	0.114	0.2046678635547576	2000
cr&trec	1	14	0.9905	test_sst2	1.0	0.117	0.20948970456580127	2000
cr&trec	1	14	0.9905	test_subj	1.0	0.392	0.5632183908045978	2000
cr&trec	1	14	0.9905	test_trec	1.0	0.981	0.9904088844018173	2000
