document	label
after nearly 800 pictures i have found that this nikon takes incredible pictures .	1
i got this for christmas , and it is a great gift .	1
pertaining to the speed issue : i got 54mps while i was in the same room .	1
seriously ! . i love it ! .	1
very annoying .	0
the volume .	0
the best part of the firewall is the visual backtracking .	1
the zen lives up to the audio quality i love and expect .	1
another irrigation is that if you hold the scroll button down for too long , it keeps going past the song you may have wanted to stop on .	0
i would recommend this camera unequivocally ! .	1
you even can not navigate by genre / artist / album since under genre you get just all tracks in that genre , no other division .	0
the price is incredible with the bonus pack and hitachi 's $25 incentive ( you need the code -- -go to tool seeker . com and it tells you )	1
* protective case completely useless as is since it obscures display window .	0
if it weren 't so big i would probably by another since no shop is complete without a handful of routers . .	0
if i was pressed to find a negative aspect of the zen micro i would probably have to mention weak fm reception , but the building where i primarily use the micro seems to have a history of terrible radio reception anyway , so you can take that for what it 's worth .	0
1 . your hitachi might come to you with a stiff spring mechanism .	0
i 've had this phone for almost a year now and it has been nothing but great to use .	1
- included creative software is pretty poor .	0
whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm radio .	1
* removable battery	1
i highly recommend this ! .	1
8 ) creative mediasource , although not as sleek looking as windows media player , is effective in organizing your collection and is linked to a good cb service ( gracenotes ) .	1
5 ) bluetooth wireless technology , so that i can transfer data to and from my computer without messing with any cables .	1
i found using the supplied mediasource software very easy .	1
nice little phone . . . light compact . .	1
the battery is alot better than most of the phones out there .	1
this process can be very annoying and unsafe when you are driving a stick shift on the highway .	0
that 's when it went from oder less , to odorous ! .	0
i really do recommend this to anyone in need of a new player .	1
putting in mp3 player , lots of games and application to download .	1
"decently sized screen -- one of the larger ones on the market at 2 """	1
the zen offered a great alternative .	1
this one is particularly bothersome : allegedly one can use the zen micro as a portable drive to store and transport data from one computer to another .	0
on top of being a workhorse and ultra reliable , it is just a plunge router that works really well .	1
this is my first digital camera , and what a ' toy ' it is ! .	1
i no longer use it as a plunge router , only as a stationary or table mounted router .	0
in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images .	1
getting the program to install properly has been a living hell experience .	0
less than a cheap cordless drill or a laminate trimmer .	1
i got it working fast enough .	1
my son tried it and he too couldn 't change the speed without an assist .	0
i wo n 't go into the details here , as the online sites ( steve's digicams , previews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .	1
i think their antivirus software was one of , if not the best , on the	1
and for those that are int rested the recharger works anywhere in the world ( and is quite small ) .	1
- well-backlit keypad	1
i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .	1
hate to wait between shots	1
it sounds decent , but i would estimate you get maybe 80 % of the quality that you would from a true line out jack .	0
the picture is clear , bright and sharp and the sound is good .	1
the flash is very weak .	0
i have had the ipod mini and it performs on the level with my sound card but the micro beats it outright .	1
5 . the camera installed on this phone is awesome .	1
this product sucks , the customer service from apex sucks .	0
anyhow , this software is working fine and no problems since i installed it two weeks ago .	1
the battery life last es 12 hours , and charges quickly . ( as mentioned above , the initial charge is a minimum of only two hours - not too long at all ! . ) once you 've downloaded your music , you can access the tracks by artist , genre , album , composer ( this comes in handy when the actual composer is different from the artist - e . g . covers of songs ) , etc .	1
12 ) big storage - my entire cd collection in one small device ( 5717 songs , 491 albums and counting ) ! .	1
while i would like to give it 3 . 5 stars instead of 4 , i gave it a 4 because it has run well for me during the time i have owned it .	1
i find all of the controls well-placed and not flimsy in the least .	1
the wood can be pushed thru fast or slow with little bog .	1
overall though , i 'm very happy with it and highly recommend it to folks looking for a mp3 player , even if it is to pretend your not a brain dead consumer giving into the marketing hype of the ipod . ; . )	1
1 ) the champ is easy to use .	1
it plays everything , even vcd 's .	1
this is truly a clydesdale among the industry 3hp+ router workhorses .	1
my only complaint ( really more of an observation ) is that the outside finish of the ipod is rather delicate , so i am going to get a case for mine so it doesn 't get all scratched up .	0
the collet for the 1/4 inch bits is a pain to get in and even harder to get out .	0
you can adjust the volume to be heard anywhere or so that it does n 't make that big of a disturbance .	1
one still works fine , the other quit after one day .	0
what disappointed me is the fact that it does not seem to read certain dvds .	0
mine generally requires a charge every 48 hours or so and i don 't really talk on it that much .	0
with all its complicated features , the menus are easily accessible and the quality of the features is great .	1
i was worried about what the sound quality would be like , but that seems to be just as good as the actual cd sound .	1
well , i got my second player , and right out of the box it wasn 't working right and once again , after consulting customer se ! .	0
my only reservations about this product concern the tagging process and the way it interacts with the software .	0
it does well in all aspects of internet browsing .	1
it sits in the corner of our bathroom and we have never had any problems with odors at all ( and we live in the damp and humid south , where odors of all kinds are generally rife ) .	1
replacement battery is $ 50 compared to ipod 's $ 150 .	1
whichever it may be , i 'm happy i 've made this purchase .	1
no offense to amazon , but i was able to find one online for just over 200 bucks ( i 'm sure prices here will continue to sink ) , and that also seemed quite a good bargain for the amount of storage space .	1
also , the lens cap design is flawed .	0
but it is smooth , it is powerful , it is affordable & it has a proven track record .	1
it is extremely light and disappears in your pocket .	1
still , i was willing to overlook those things as this unit looks sleek and has a myriad of features ! .	1
comments : overall this is still a great value , but is kind of overrated in the sense that there are beater deals on the market .	1
2 . battery life is over 4 . 5 hours , compared to about 2 . 5 hours for the g2 or the 2 hours for most nikon's .	1
the clarity is unbelievable , which means you can cram almost the full 2 , 5 ! .	1
other than the fact that one can 't delete a file directly from the ipod , the interface is excellent and mind-numbingly simple to use .	1
what i like the most : - small and solid feel .	1
2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer )	1
even the instruction booklet is out of order .	0
8 battery life is excellent .	1
simple click buttons , back buttons volume and display are very easy to read , access and use .	1
for the zen creative focused on packaging which looked well thought out , well presented and easy to open and put back together .	1
for last one month my rebate status showing me that my rebate is approved and check is delivered but still i am waiting for check .	0
even after all the nightmare sound problems , i 'd still half-way like this product if it kept it 's promise ; . the ability to store 1500 songs .	0
i can 't rate it one star only because when it does work it 's pretty good .	0
( batteries last longer too ! . )	1
yes , there is a belt clip , but that doesn 't hold the extra battery and usb cable .	0
awesome for the newbie , though i personally like to fasten every bolt myself .	1
i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots .	1
this router was a huge disappointment .	0
when the player was working it was great , but .	0
the scroll wheel is easy to use and works great for me , however many have complained that the wheel is cumbersome and difficult to operate .	1
for those mac osx users out there , isync works fairly well .	1
who in the hell needs a frigging *vga* camera on their cellphone ? . ? . ? .	0
we are overall pleased with product .	1
but overall this is a good camera with a ' really good ' picture clarity ; . an exceptional close-up shooting capability .	1
i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar .	1
this camera is perfect for an enthusiastic amateur photographer .	1
as i drove across the country i lost reception only in eastern kentucky 's mountains .	1
this was an awesome player , before the video output no longer worked ( after about 3 weeks ) .	0
what a kick butt mp3 machine and the freedom to get songs from a reasonable source , instead of paying for them two or three times , then get the creative zen ipod killer , kiss my ass itunes ! .	1
learning how to use it will not take very long .	1
sound quality ? . phenomenal .	1
this camera is great if you 're used to a high-end slr .	1
"if you have an older version of "" internet security "" installed , you may also need to remove it as well before proceeding with systemworks install ."	0
not only is it the perfect size ( not too small , not too large ) , it also has all the features a high-tech phone user would want .	1
the games are decent , but u only get 2 to start off with .	1
when taking pictures of people , however , it shows every flaw in the subject 's skin .	0
surfing the web on it is nice as well , i just wish there were more wap pages available .	1
the only beef i can raise in this regard is the pop-off face , that sometimes comes off a bit easily , but besides that it 's perfect .	0
second , the menu system and controls are poorly designed .	0
i was more excited about this player upon opening than i was about the nomad .	1
scroll button - the scroll wheel was a nice idea to keep less clutter , but the button would sometimes get stuck or keep scrolling .	0
the software , mediasource , can not work on my pc . ( laptop , intel p4-2 . 0 , xp os ) .	0
i say adequate because it was enough to get wireless working , but nowhere near enough instruction to do the proper configuration job that i could have done if so ! .	0
just the home version of norton internet/av has too many glitches and problems to even remotely bother with .	0
despite the things that i have listed so far , i could live with this item since it saves me from lugging a cd case to work , to the gym , in the car , etc . .	1
it seems to me that after the focus and metering are complete there is quite a lag before the shutter ? .	0
if you buying this player to use with napster to go , wait a while .	0
i use a nokia 6600 , it has a great color tft display and camera equipped with zoom , which complement a built-in video recorder with audio and a real one player for playback and streaming of 3gpp-compatible and real media video clips .	1
the sound is incredible ; . very clean , very wide dynamic range of bass , midas and highs , and can be very loud if i turn it up full blast .	1
the eax sound enhancement feature did n 't do enough for me and the custom eq was a limited 5 band eq .	0
the camera res ponce is very quick .	1
however after playing with it for three weeks now , i 'm convinced , the zen micro is superior .	1
but , all of this means nothing , because of the serious , serious , stupid and ridiculously elemenatary design flaw : after 3 months , give or take a few weeks , you won 't be able to hear anything .	0
the only downside i see is that it does n 't look like you can manage playlists from the nomad , it has to be done from the computer .	0
however , setting up using the quick start instructions was a breeze .	1
pros : large hard drive for the $$ -- 20gb and 40gb are both affordable .	1
"i have only used it with the 1/4 "" collet and a 1/2 "" round over bit , but i love how it starts up with little torque and runs very quietly ."	1
so far it has been very durable ( other than the little pads on the earbuds ) , but those aren 't really necessary as i find them comfortable on their own .	1
i 've got a buddy who 's trying to offload his almost new $300 systematic because he saw what this router can do .	1
by no means do you have to be a tech junkie to be able to install it , just be able to put a cd in the computer and it tells you what to do .	1
i do give create to creative for their attractive design .	1
the player looked good right out of the box , offering lots of features and good styling .	1
lots of sound options , has an equalizer almost like winamp with the options .	1
the phone must be shut down & taken apart to change the memory card . . . and turning the phone back on takes a little while .	0
i bought it for my trip to buns aries , and also used it at the iguassu falls , and could not have asked for more perfect performance ! .	1
i found that to be the most impressive thing about the ipod 'mini ' - basically for ease of use , and the feel it gives .	1
moving on to sound department . . . it delivers ! .	1
but this camera is great ! .	1
the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .	0
even during the firmware updates my roommates did not loose wireless connectivity .	1
i installed , activated and registered nis 2004 without issue .	1
the second lasted about two weeks before the video went out ! .	0
there are instructions to encrypt your personal wireless network so no one else can end up hogging/stealing your bandwidth .	1
i 'd recommend this is you want to wireless network your laptop , but if you want to wirelessly network a couple desktops together you might want to wait until linksys improves their desktop software/hardware .	0
so far i have no complaints with this player .	1
what the g3 raw image software gives you is a fantasy world designed to please the uncritical .	0
my other nit is that it didn 't include at least some kind of carrying case for everything .	0
the sound is bright and clear , the ability to store any mp3 's ( and not just apple-approved files ) is great , and i plan to make use of the storage space and sound recording from time to time .	1
i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures .	1
great phone . . .	1
bottom line is that at $160 , this is an absolute steal .	1
once a depth is locked , it will jump off a little while working .	0
it ain 't cutting edge ( no pun intended ) state of the art with all the latest bells & whistles & it definitely ain 't pretty .	0
the micro seemed like an ipod for less .	1
unlike other reviewers , i have found the support to be responsive , almost no wait time on the phone , and relatively knowledgeable .	1
i ended up buying one for upstairs and one for downstairs because it works so well and because i change him so often downstairs .	1
and , with the ipods ' full volume up , all you have to do is adjust your receivers ' volume and your set , since the ipod itself acts as a strong amp lifer of its ' own .	1
it wo n 't play 80 % of my movies , which are all store bough ten .	0
apex 's website is down and they wo n 't answer their phone .	0
just bought one & i 've enjoyed it to date .	1
capacity is not a problem here .	1
t simply the best player on the market for a really low price , so why look anywhere else ? .	1
first , it failed whenever connecting to get updates .	0
it receives very nice mms pictures from other gsm phones .	1
this router works at 54mbps that 's megabyte not kilobyte .	1
"sometimes the pictures are on the dark side , but i 'm able to fix that using the photoshop 6 . 0 "" adjust levels "" function . . . not sure how a person would do that without photoshop , though ."	0
6 ) the case occludes the display screen when it is closed .	0
sure they say if it 's their fault you won 't get charged , but they are the ones who get to decide whether it 's their fault .	0
like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) .	1
it is small enough to fit easily in a coat pocket or purse .	1
it sure does ! .	1
i just purchased this phone and i think this is the coolest phone i ever had .	1
the speakerphone works better than any speakerphone i 've ever had .	1
new firmware update allows for automatic wireless network configuration .	1
track # , name , artist , album and genre is automatically-retrieved via internet-labeled , and properly categorized into the zen .	1
they also sound excellent compared to other earbuds including retail sets like panasonic's and sennheisers .	1
the 4g ipod costs the same as this 5g zen micro .	1
this unit comes with the usb/firewire cable as a standard item now .	1
"the bottom line is "" phone is cool one - only for the moment , as its the latest phone in the market and has all the new features , but this will soon be displaced by upcoming newer phones "" ."	1
i guess the two antennae help with that besides making it look cooler .	1
camera quality isn 't bad for the low resolution .	1
works pretty well .	1
in addition it comes with a sleek and powerful headset .	1
it has raised the bar owing to number of features it offers and the absolute ease of use delight .	1
the sd500 has only been in my possession for a little over 3 months , and the lcd has been broken twice .	0
its not a perfect system but its a very good one .	1
again , this doesn 't affect regular mp3 files - just subscription drm-encoded files , like those from napster-to-go or yahoo music unlimited .	0
you can use the ob ex file transfer service with bluetooth from linux ( kde-bluetooth provides a nice integration into conqueror for this ) for sending files to the phone .	1
"the software interface supplied was very easy to use but i went ahead and got red chair 's "" notmad "" software because of some advanced features i wanted ."	1
3 ) joy stick for eazy navigation , 35mb memory card to store the pictures and stuff .	1
after telling the rep and his tech supervisor the problem the only answer was to uninstall the program ( which i had already done ) . . .	0
on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd .	0
the front cover can pop off easily but i always have mine in the case so i did n 't notice after first day .	0
-- > too difficult to change genre / album / track information for large number of tracks .	0
the ipod is a fine cousin to the early macs and current offerings from jobs and company .	1
it has fm radio option and i can listen to music anytime .	1
firewire & usb2 . 0 -- for those fortunate enough to have firewire400 , your in for a real treat with auto sync .	1
great design -- very sleek and touch wheel has still never been successfully copied ( virtual ones are the only competition ) ; . and now the wheel clicks , taking away a lot of headaches from 3rd gen and very navigable in the menus .	1
sound settings can be adjusted for personal preference .	1
i 'm giving it 1 star because as compared to other nokia phones , its a 1 , compared to other blunders by other companies ( such a samsung and motorola ) it might be good . . . . but if you 're getting a nokia , don 't get this one .	0
i like the size and weight of this little critter .	1
actually , the creative zen micro solves all that .	1
i forgot , the case does n 't fit .	0
it is so small that i am able to keep it in my pocket , and i don 't have to fear that it will get ruined in my pocket because it is so durable .	1
it plays original dvds and cds and plays mp3s and jpegs .	1
and the body / construction in general has quite a bit of plastic , a disappointment after the stainless steel heft of the s330 .	0
my main complaints are that it should be deeper or wider as it doesn 't even fit a smaller sized garbage bag .	0
i almost always get a good strong signal , even in fairly remote areas here in the southwest .	1
i love how small the thing is , and the blue glow - i 've had it for two weeks with no electronic problems at all .	1
still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! .	1
the sound is great , and the volume is more than satisfactory for commutes and shutting out external noise .	1
so for the money it costs for one of those top-of-the-line models i 've got a good router & a nice table to put it in & i like that .	1
nice palm sized unit , somewhat bigger then the ipod but not an issue if you 're not going to try & jog with it or something .	1
"about the product : the zen micro is a sleek , stylish device that caters not just to "" hip "" youngsters but to people of all walks of life who like to listen on the go without having to worry frequently about battery life , size , or the "" awkward "" factor ."	1
crappy headphones .	0
wo n 't play a lot of discs .	0
one bad thing though , i find the remote-control a bit flimsy and i predict it will most probably ' die ' before the player does .	0
they 're easy to use .	1
this player is an ideal purchase .	1
i must admit its not the best looking phone ever but then it has this look of static and absolute conviction that looks like everything a phone should be	1
update ( march 2005 ) : my son has been out of diapers for almost 2 years now , but the diaper champ hung in there till the very end - easy to use , no problems with odors , and one of the best bargains among all of the paraphernalia required for the modern baby : - )	1
they didn 't know what the problem could be .	0
ability to play most discs - i tried dvd , vcd , dvd-r , audio cd and it played all	1
the white-led backlit lcd is very bright and crisp , even in sunlight , and relatively easy on the battery .	1
they look fantastic .	1
the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated .	0
the nokia 660 runs the symbian os , which works pretty well for most standard phone fare , most of the stuff is not that intuitive , but if you actually learn how to use it all , there 's plenty of neat tie-ins .	1
in other words , the zen is not a convenient data storage device ; . only buy the capacity you need for your music collection ( see point 1 . for some sizing information ) .	0
no need for deodorizers .	1
the box is upstairs , and in the farthest room i get connected at 11-18m speed - that is similar to the older 10m ethernet standard .	1
a lot of people are having problems with the firmware update required to use the player for napster to go . . the firmware is beta and they are are a lot of bugs in it .	0
4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera .	1
the greatest thing about the software ( in my humble ) is that it reads your cd info .	1
i simply hate symantec . i swear , if i could have physically ripped that software out of my computer with my bare , bleeding hands , i would have .	0
i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media .	0
i still have over 19gb left , and already have over 200 cd 's on it .	1
e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage	0
pros the design is very nice , and the colors are too .	1
i own this phone for about 6 months now , i have used the following features : bluetooth connection to laptop and desktop for sync contacts and calendars with outlook , transfer files ( movies , songs ) , i have many movies on it now with a 512mb memory card that it takes .	1
symantec should give us all a refund and apology ! .	0
the sound is not loud enough when i play back the video clips on the camera .	0
it 's great to switch to spot metering and actually see it working on the lcd screen .	1
with eax on , you can modify your sound , with 4 different presets , which is pretty good , you can get different variations with it .	1
the grain was terrible .	0
fits comfortably in my inside jacket pocket or in my pants pocket .	1
sure , it slows it down a little , but that 's expected .	1
you can manage your profile , change the contrast of backlight , make different type of display , either list or tabbed .	1
6 ) excellent battery life - 14 hours beats ipod 's .	1
their customer service agents are always prompt and polite and my service is terrific .	1
i have the black one and adore it .	1
this phone is fantastic .	1
handset quality is great , as is the speakerphone quality and the headset audio quality .	1
i have to say that i am very happy with it so far .	1
apparently , t-mobile is heavily back-logged and can 't keep up with demands .	0
battery life is good for a phone of this size .	1
best electronic i 've bought since i was born .	1
overall it is a great value .	1
we found that when you put a dirty diaper into the top loader , there was a tendency to get streaks which would then get on the plunger which would then have to get cleaned each time it was used .	0
unit worked great for 3 weeks then video output failed .	0
i have come across many other beginner cameras that i prefer over this camera , but the thing you have to keep in mind about this camera is the size .	1
and the firewall came with a wizard which made it effortless to configure it to my lan .	1
the included memory card is too small .	0
i have been absolutely , completely satisfied with the product and its capabilities .	1
of course , if you try to reach symantec customer service you get useless automated systems unless you want to pay $30 per incident .	0
i 've had this beauty for nearly 2 months now and i truely love it .	1
personally , i may never buy symantect products again .	0
its sleek design , large memory capacity , compatibility with itunes , and ease of use makes this one of the best portable digital listening devices on the market .	1
along the way we compared it to my wife 's t720i and the 6600 was superior in terms of battery life , connectivity bars and features .	1
very sturdy and strong .	1
the only thing i don 't like about it is that you have to buy a larger memory card , first thing ! .	0
cheap construction - they should have made the player out of hard plastic and put some rubber on the corners .	0
the battery stays charged for a long time , and takes no more than 2 or 3 hours at most to fully recharge via the included ac adapter .	1
what this plug-in reveals is the truly stunning quality of the raw g3 hardware .	1
anywhere i went in south africa this phone received full bar reception .	1
this dvd play is basically junk .	0
this is a must have product for all new moms ! .	1
then , my ad/pop-up blocking was completely gone .	0
anyway , this player is a great deal and i really love it .	1
its steel backing picks up fingerprints and scratches easily , not great from a cosmetic standpoint .	0
the interface used could be better designed .	0
applications : it has lots of applications and they work very well . . . when you eventually find where they are and they finally open .	1
"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it ! ."	1
i love the slim design ; . the weight would only be an issue if it were bulky .	1
the sound quality is excellent ( and i 'm fussy with that stuff ) , the unit looks cool , screen is bright and easy to read , and the replaceable battery means a major advantage over the ipod ( besides the price , but everyone knows that ) .	1
i have owned this camera for a short time and would n 't give it up for anything .	1
i don 't know what 's happened to norton , but 2004 is absolute garbage .	0
it wo n 't play all of my movies .	0
i have stored around 60 cd 's ( at 160kbps ) on this and have barely touched the available memory .	1
huge storage space , i loaded my entire collection of music , which isnt that much , 400 songs , and still have 26 gb , out of the 28 provided to you .	1
right now , the creative software transfers subscription music files very slowly .	0
) no locked-in proprietary business like apple ; . this baby plays wmas too .	1
it did play a dvd-r which was unplayable in my older philips machine .	1
"otherwise , this is a great "" alternative "" mp3 player for those of use who don 't want to worship the mighty all-powerful apple ."	1
i did buy the notmad software a week ago and found that a vast improvement .	1
"you don 't need to cough up an extra couple bucks for a "" special edition "" to get black ! . - sound : awesome ! . - batteries : removable/replaceable ."	1
the instruction manuals and documentation are excellent so that the learning curve will be much less steep .	1
the other annoyance with this that you have to remove every single remnant of previous version of norton systemworks before you installs this .	0
avoid this product at all costs .	0
it 's a rip off if one buys norton internet security and antivirus .	0
other than this , i am very pleased with the router and would buy it again .	1
i 'm glad canon decided to keep the 4mp resolution and improved upon it with new technology ; .	1
extremely convenient .	1
don 't worry this player rocks .	1
even viewed cds full of jogs .	1
after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it .	0
the bottom line for me is that i am very happy with this product .	1
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player .	1
the functionality on this camera is mind-blowing .	1
unfortunately , this digital moment-capturing device called the g3 sometimes captures the moment after the one you wanted .	0
a distinct ipod relation is evident with white colored cables , power plug and the very nice zen case with a white rubber inside covering .	1
proven canon built quality and lens .	1
"i recently had to run a 3/4 "" straight bit through hard maple to make a deep dado and was amazed that this machine didn 't even slow down ."	1
good image quality .	1
the menus and features are easy to manipulate and access , and it takes silent movies .	1
i would put the hitachi up with the best ! .	1
in fact , i liked it so much after using it with my son who is now 2 years old , that i bought one for our new baby 's room .	1
pros . 1 . speed 2 . signal strength 3 . advanced configuration options	1
it also has a voice recorder and fm radio that you can only get on an ipod if you but an adapter seperately .	1
if you think you are saving $40 getting the hitachi , you are right , and you are also getting a router worth $40 less than a makita .	0
i have never had an odor problem ! .	1
fact is , it could n 't be easier to use .	1
i use the router with a 3 1/2in raised panel bit with no problems .	1
i am very pleased so far .	1
this thing is trash .	0
i gave up and got a diaper decor .	0
the good : 1 ) large lcd screen , colorful display , good resolution .	1
+ screen was good , easy to read	1
this means that there is a good chance that this phone will not break easily like typical american phones .	1
i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem .	0
i have the software working fine now and the mp3 player is fantastic .	1
i first used the router in the free hand mode and liked it a lot .	1
audio is excellent .	1
i have had no problems with the phone .	1
now in october , 2004 , the firewall said i couldn 't ok anymore software to use the internet because its full .	0
the heavy motor and continuously variable speed control let this router churn through everything i threw at it .	1
all in all , not very good .	0
